census_year,census_subdivision_id,track_usetype,track_operatoena,track_ownerena,station_stnenname,station_stntype,station_stnusr1ena
2011,5953050,Freight,Canadian National,Canadian National,Kennedy,Unknown,Canadian National
2011,5931006,Freight and Tourist,Canadian National,Canadian National,Thompson,Unknown,Canadian National
2011,5915001,Freight,Canadian Pacific,Canadian Pacific,Rawlison,Unknown,Canadian National
2011,5933880,Freight,Canadian National,Canadian National,Batchelor,Unknown,Canadian National
2011,5915004,Freight,Canadian Pacific,Canadian Pacific,Douglas Island,Freight,Canadian National
2011,5957022,Freight,Canadian National,Canadian National,Minaret,Unknown,Canadian National
2011,5901806,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5953033,Freight,Canadian National,Canadian National,Mackenzie,Freight,Canadian National
2011,5915004,Freight,Canadian National,Canadian National,Fraser River Junction,Unknown,Canadian National
2011,5933037,Freight and Passenger,Canadian Pacific,Canadian Pacific,Martel,Unknown,Canadian National
2011,5909052,Freight,Canadian Pacific,Canadian Pacific,Matsqui Junction,Unknown,Canadian National
2011,5933032,Freight and Tourist,Canadian National,Canadian National,Kelly Lake,Unknown,Canadian National
2011,5941014,Freight,Canadian National,Canadian National,,,
2011,5953019,Freight,Canadian National,Canadian National,Loos,Mixed,Canadian National
2011,5919046,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5915022,Freight and Passenger,Canadian Pacific,Canadian Pacific,CN Junction,Unknown,Canadian National
2011,5909009,Freight,Canadian National,Canadian National,Floods,Unknown,Canadian National
2011,5931829,Freight and Tourist,Canadian National,Canadian National,Moran,Unknown,Canadian National
2011,5915022,Freight,Southern Railway of Vancouver Island,Island Corridor Foundation,Vancouver Central Pacific,Passenger Station,VIA Rail
2011,5953019,Freight,Canadian National,Canadian National,Charles,Unknown,Canadian National
2011,5953048,Freight and Passenger,Canadian National,Canadian National,Aleza Lake,Passenger Station,VIA Rail
2011,5933067,Freight,Canadian National,Canadian National,Clearwater,Passenger Station,VIA Rail
2011,5931017,Freight and Tourist,Canadian National,Canadian National,Green River,Unknown,Canadian National
2011,5953023,Freight and Passenger,Canadian National,Canadian National,Violato,Freight,Canadian National
2011,5951051,Freight and Passenger,Canadian National,Canadian National,Huntington,Unknown,Canadian National
2011,5931012,Freight,Canadian National,Canadian National,Pemberton,Unknown,Canadian National
2011,5909052,Freight and Passenger,Canadian National,Canadian National,Abbostford,Passenger Station,VIA Rail
2011,5955023,Freight,Canadian National,Canadian National,Bond,Unknown,Canadian National
2011,5915004,Freight,Canadian Pacific,Canadian Pacific,Vancouver Intermodal Terminal,Intermodal,Canadian National
2011,5931012,Freight,Canadian National,Canadian National,Tisdall,Freight,Canadian National
2011,5933068,Freight,Canadian National,Canadian National,Birch Island,Unknown,Canadian National
2011,5941010,Freight,Canadian National,Canadian National,MacAlister,Unknown,Canadian National
2011,5941015,Freight and Tourist,Canadian National,Canadian National,Graham,Unknown,Canadian National
2011,5955021,Freight,Canadian National,Canadian National,Rowland,Unknown,Canadian National
2011,5935016,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,,,
2011,5941015,Freight and Tourist,Canadian National,Canadian National,Lac La Hache,Unknown,Canadian National
2011,5947016,Freight and Passenger,Canadian National,Canadian National,Kwinitsa,Mixed,Canadian National
2011,5923033,Freight,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5959007,Freight,Canadian National,Canadian National,Ft Nelson Yard,Freight,Canadian National
2011,5951019,Freight and Passenger,Canadian National,Canadian National,Wedgwood,Unknown,Canadian National
2011,5955010,Freight,Canadian National,Canadian National,Chetwynd,Unknown,Canadian National
2011,5915840,Freight and Passenger,Canadian Pacific,Canadian Pacific,,,
2011,5915022,Passenger,Canadian Pacific,Canadian Pacific,Vancouver,Mixed,Canadian Pacific
2011,5915029,Freight,Canadian National,Canadian National,Spruce,Unknown,Canadian National
2011,5909878,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Abrahamson,Unknown,Canadian National
2011,5953048,Freight and Passenger,Canadian National,Canadian National,Wolverine,Unknown,Canadian National
2011,5955023,Freight,Canadian National,Canadian National,Foss,Unknown,Canadian National
2011,5941015,Freight,Canadian National,Canadian National,Tatton,Unknown,Canadian National
2011,5951840,Freight,Canadian National,Canadian National,,,
2011,5953023,Freight and Passenger,Canadian National,Canadian National,Nichols,Unknown,Canadian National
2011,5915004,Freight and Passenger,Burlington Northern Santa Fe Railway,Burlington Northern and Santa Fe Railway Company,Hampton,Unknown,Canadian National
2011,5953046,Freight,Canadian National,Canadian National,Hixon,Unknown,Canadian National
2011,5955040,Freight,Canadian National,Canadian National,Nunes,Unknown,Canadian National
2011,5909052,Freight,Canadian National,Canadian National,Sumas Mtn,Unknown,Canadian National
2011,5953023,Freight and Passenger,Canadian National,Canadian National,Prince George West,Freight,Canadian National
2011,5953044,Freight,Canadian National,Canadian National,Cale Creek,Unknown,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Jackman,Unknown,Canadian National
2011,5909014,Freight,Canadian Pacific,Canadian Pacific,Spence,Unknown,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Dome Creek,Passenger Station,VIA Rail
2011,5949024,Freight and Passenger,Canadian National,Canadian National,Fleming,Unknown,Canadian National
2011,5941021,Freight and Tourist,Canadian National,Canadian National,Colebank,Unknown,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Swiftwater,Unknown,Canadian National
2011,5915011,Freight and Passenger,Burlington Northern Santa Fe Railway,Burlington Northern and Santa Fe Railway Company,,,
2011,5931021,Freight,Canadian National,Canadian National,Porteau,Unknown,Canadian National
2011,5953050,Freight,Canadian National,Canadian National,Sentinel,Unknown,Canadian National
2011,5915075,Freight and Passenger,Canadian Pacific,Canadian Pacific,Port Haney,Passenger Station,West Coast Express Ltd.
2011,5915070,Freight and Passenger,Canadian Pacific,Canadian Pacific,Vancouver Intermodal Terminal,Intermodal,Canadian Pacific
2011,5941021,Freight and Tourist,Canadian National,Canadian National,Baker,Unknown,Canadian National
2011,5949028,Freight,Canadian National,Canadian National,Cedarvale,Mixed,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Grant Brook,Unknown,Canadian National
2011,5909034,Freight and Passenger,Canadian National,Canadian National,Cheam View,Unknown,Canadian National
2011,5909020,Freight,Canadian National,Canadian National,Chilliwack,Mixed,Canadian National
2011,5941019,Freight,Canadian National,Canadian National,Australian,Unknown,Canadian National
2011,5937024,Freight,Okanagan Valley Railway Company,OmniTRAX,,,
2011,5953048,Freight and Passenger,Canadian National,Canadian National,Shelley,Freight,Canadian National
2011,5905026,Freight,Kettle Falls International Railway Co.,OmniTRAX,,,
2011,5953050,Freight,Canadian National,Canadian National,Tacheeda,Unknown,Canadian National
2011,5905052,Freight,Burlington Northern Santa Fe Railway,Burlington Northern and Santa Fe Railway Company,,,
2011,5953019,Freight,Canadian National,Canadian National,Von Zuben,Unknown,Canadian National
2011,5921036,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5909014,Freight and Passenger,Canadian Pacific,Canadian Pacific,Boston Bar East,Unknown,Canadian National
2011,5953019,Freight and Passenger,Canadian National,Canadian National,McCabe,Unknown,Canadian National
2011,5955040,Freight,Canadian National,Canadian National,Tamarack,Unknown,Canadian National
2011,5941010,Freight,Canadian National,Canadian National,Comer,Unknown,Canadian National
2011,5953019,Freight and Passenger,Canadian National,Canadian National,Mooke Lake,Unknown,Canadian National
2011,5915034,Freight,Canadian National,Canadian National,Coquitlam Central,Passenger Station,West Coast Express Ltd.
2011,5933070,Freight and Passenger,Canadian National,Canadian National,Redsand,Unknown,Canadian National
2011,5909014,Freight and Passenger,Canadian Pacific,Canadian Pacific,Komo,Unknown,Canadian National
2011,5955023,Freight,Canadian National,Canadian National,Perry,Unknown,Canadian National
2011,5915015,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5909062,Freight and Passenger,Canadian National,Canadian National,,,
2011,5933881,Freight and Passenger,Canadian Pacific,Canadian Pacific,,,
2011,5953019,Freight and Passenger,Canadian National,Canadian National,Yellowhead,Unknown,Canadian National
2011,5933879,Freight and Passenger,Canadian Pacific,Canadian Pacific,,,
2011,5933042,Freight and Passenger,Canadian National,Canadian National,Mann,Unknown,Canadian National
2011,5937028,Freight,Okanagan Valley Railway Company,OmniTRAX,,,
2011,5933015,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5909052,Freight and Passenger,Canadian National,Canadian National,Glen Valley,Unknown,Canadian National
2011,5931021,Freight and Tourist,Canadian National,Canadian National,Garibaldi,Unknown,Canadian National
2011,5903052,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5951013,Freight,Canadian National,Canadian National,Fort St James,Freight,Canadian National
2011,5909843,Freight and Passenger,Canadian National,Canadian National,,,
2011,5931017,Freight,Canadian National,Canadian National,Creekside,Unknown,Canadian National
2011,5915055,Freight and Tourist,Canadian National,Canadian National,Ambleside,Unknown,Canadian National
2011,5953048,Freight and Passenger,Canadian National,Canadian National,Hutton,Passenger Station,VIA Rail
2011,5909052,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Matsqui,Unknown,Canadian National
2011,5941021,Freight,Canadian National,Canadian National,Cotwood,Unknown,Canadian National
2011,5921007,Freight,Unknown,Unknown,,,
2011,5915004,Freight and Passenger,BC Rail,Canadian National,Fraser River Junction,Unknown,Canadian National
2011,5959806,Freight,Canadian National,Canadian National,,,
2011,5941017,Freight and Tourist,Canadian National,Canadian National,Potter,Unknown,Canadian National
2011,5951028,Freight,Canadian National,Canadian National,Watson Bc,Unknown,Canadian National
2011,5947012,Freight and Passenger,Canadian National,Canadian National,Prince Rupert,Passenger Station,VIA Rail
2011,5909014,Freight and Passenger,Canadian Pacific,Canadian Pacific,Boston Bar West,Freight,Canadian National
2011,5931831,Freight and Tourist,Canadian National,Canadian National,Seton,Unknown,Canadian National
2011,5909052,Freight and Passenger,Canadian National,Canadian National,Page,Unknown,Canadian National
2011,5921034,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5951009,Freight,Canadian National,Canadian National,,,
2011,5915001,Freight and Passenger,Canadian National,Canadian National,Hopewell,Unknown,Canadian National
2011,5933070,Freight,Canadian National,Canadian National,Pyramid,Unknown,Canadian National
2011,5926010,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5955023,Freight,Canadian National,Canadian National,Norris,Unknown,Canadian National
2011,5915025,Freight and Passenger,Canadian Pacific,Canadian Pacific,Lake City,Unknown,Canadian National
2011,5941013,Freight and Tourist,Canadian National,Canadian National,Westply,Unknown,Canadian National
2011,5931017,Freight and Tourist,Canadian National,Canadian National,Birken,Unknown,Canadian National
2011,5953801,Freight,Canadian National,Canadian National,,,
2011,5933846,Freight and Passenger,Canadian National,Canadian National,,,
2011,5915022,Passenger,Canadian Pacific,Canadian Pacific,Waterfront,Passenger Station,West Coast Express Ltd.
2011,5933042,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,Mackenzie,Unknown,Canadian National
2011,5909016,Freight and Passenger,Canadian National,Canadian National,Yale,Unknown,Canadian National
2011,5953023,Freight and Passenger,Canadian National,Canadian National,Miworth,Unknown,Canadian National
2011,5951814,Freight,Canadian National,Canadian National,Trembleur,Unknown,Canadian National
2011,5915022,Freight,Canadian Pacific,Canadian Pacific,Vancouver,Mixed,Canadian Pacific
2011,5931006,Freight,Canadian National,Canadian National,Brackendale,Unknown,Canadian National
2011,5915011,Freight,BC Rail,Canadian National,,,
2011,5915004,Freight,BC Rail,Canadian National,Hampton,Unknown,Canadian National
2011,5931034,Freight and Tourist,Canadian National,Canadian National,Pavilion,Unknown,Canadian National
2011,5941009,Freight and Tourist,Canadian National,Canadian National,Williams Lake,Freight,Canadian National
2011,5955010,Freight,Canadian National,Canadian National,Chetwynd,Freight,Canadian National
2011,5915001,Freight,Canadian Pacific,Canadian Pacific,Hydro,Unknown,Canadian National
2011,5915046,Freight and Tourist,Canadian National,Canadian National,North Vancouver,Freight,Canadian National
2011,5949028,Freight,Canadian National,Canadian National,Andimaul,Unknown,Canadian National
2011,5933037,Freight,Canadian National,Canadian National,Falls Creek,Unknown,Canadian National
2011,5949013,Freight and Passenger,Canadian National,Canadian National,Grande Trunk,Unknown,Canadian National
2011,5953023,Freight and Passenger,Canadian National,Canadian National,Prince George South,Freight,Canadian National
2011,5909016,Freight and Passenger,Canadian National,Canadian National,Trafalgar,Unknown,Canadian National
2011,5933037,Freight,Canadian National,Canadian National,Morris,Unknown,Canadian National
2011,5951007,Freight,Canadian National,Canadian National,Cariboo,Unknown,Canadian National
2011,5919021,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5933037,Freight,Canadian Pacific,Canadian Pacific,Coho,Unknown,Canadian National
2011,5937010,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,,,
2011,5933845,Freight and Passenger,Canadian National,Canadian National,,,
2011,5953048,Freight,Canadian National,Canadian National,Giscome,Freight,Canadian National
2011,5933037,Freight and Tourist,Canadian Pacific,Canadian Pacific,Walhachin,Unknown,Canadian National
2011,5953046,Freight and Tourist,Canadian National,Canadian National,Crysdale,Unknown,Canadian National
2011,5953048,Freight and Passenger,Canadian National,Canadian National,Upper Frazer,Passenger Station,VIA Rail
2011,5933039,Freight and Tourist,Canadian Pacific,Canadian Pacific,Kissick,Unknown,Canadian National
2011,5949028,Freight and Passenger,Canadian National,Canadian National,Carnaby,Unknown,Canadian National
2011,5921018,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5933037,Freight and Passenger,Canadian Pacific,Canadian Pacific,Spence's Bridge,Unknown,Canadian National
2011,5939803,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5933039,Freight,Canadian National,Canadian National,Frederick,Unknown,Canadian National
2011,5933039,Freight,Canadian National,Canadian National,Savona,Unknown,Canadian National
2011,5909020,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Chilliwack,Mixed,Canadian National
2011,5953050,Freight,Canadian National,Canadian National,Alward,Unknown,Canadian National
2011,5947007,Freight and Passenger,Canadian National,Canadian National,Tyee,Unknown,Canadian National
2011,5931844,Freight,Canadian National,Canadian National,Darcy,Unknown,Canadian National
2011,5951053,Freight and Passenger,Canadian National,Canadian National,Lucas,Unknown,Canadian National
2011,5951806,Freight and Passenger,Canadian National,Canadian National,,,
2011,5915025,Freight,Canadian National,Canadian National,Willingdon Junction,Unknown,Canadian National
2011,5947012,Freight and Passenger,Canadian National,Canadian National,Prince Rupert,Freight,Canadian National
2011,5953019,Freight and Passenger,Canadian National,Canadian National,Fitzwilliam,Unknown,Canadian National
2011,5947016,Freight,Unknown,Unknown,Skeena,Unknown,Canadian National
2011,5937017,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,,,
2011,5915022,Freight and Tourist,Canadian National,Canadian National,Waterfront,Passenger Station,West Coast Express Ltd.
2011,5909020,Freight and Passenger,Canadian National,Canadian National,Rosedale,Unknown,Canadian National
2011,5921032,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5941017,Freight,Canadian National,Canadian National,Norris,Unknown,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Croydon,Unknown,Canadian National
2011,5915022,Freight,Southern Railway of Vancouver Island,Island Corridor Foundation,CN Junction,Unknown,Canadian National
2011,5931026,Freight,Canadian National,Canadian National,Lillooet,Freight,Canadian National
2011,5955023,Freight,Canadian National,Canadian National,Williams,Unknown,Canadian National
2011,5949028,Freight,Canadian National,Canadian National,Bulkley Canyon,Unknown,Canadian National
2011,5937022,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,,,
2011,5915025,Freight,Canadian National,Canadian National,Sperling,Unknown,Canadian National
2011,5953012,Freight and Passenger,Canadian National,Canadian National,McBride,Mixed,Canadian National
2011,5915029,Freight,Canadian Pacific,Canadian Pacific,Braid,Freight,Canadian National
2011,5933070,Freight and Passenger,Canadian National,Canadian National,Avola West,Unknown,Canadian National
2011,5949013,Freight and Passenger,Canadian National,Canadian National,Dorreen,Passenger Station,VIA Rail
2011,5915022,Freight and Passenger,Canadian Pacific,Canadian Pacific,Vancouver Central Pacific,Passenger Station,VIA Rail
2011,5953023,Freight and Tourist,Canadian National,Canadian National,Basford,Freight,Canadian National
2011,5951043,Freight and Passenger,Canadian National,Canadian National,Smithers,Mixed,Canadian National
2011,5915029,Freight,Canadian Pacific,Canadian Pacific,Fraser River Bridge,Unknown,Canadian National
2011,5941010,Freight,Canadian National,Canadian National,Gibraltar,Unknown,Canadian National
2011,5933037,Freight,Canadian Pacific,Canadian Pacific,Basque,Unknown,Canadian National
2011,5959007,Freight,Canadian National,Canadian National,Fontas,Unknown,Canadian National
2011,5933880,Freight and Passenger,Canadian National,Canadian National,Chapman,Freight,Canadian National
2011,5909052,Freight,Canadian National,Canadian National,Matsqui,Unknown,Canadian National
2011,5933068,Freight,Canadian National,Canadian National,Vavenby,Unknown,Canadian National
2011,5941005,Freight,Canadian National,Canadian National,Exeter,Unknown,Canadian National
2011,5951017,Freight and Passenger,Canadian National,Canadian National,Endako,Mixed,Canadian National
2011,5921804,Freight,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5951019,Freight,Canadian National,Canadian National,Hulatt,Unknown,Canadian National
2011,5915025,Freight,Canadian National,Canadian National,Piper,Unknown,Canadian National
2011,5953042,Freight and Passenger,Canadian National,Canadian National,Nichol,Unknown,Canadian National
2011,5941013,Freight,Canadian National,Canadian National,Quesnel,Freight,Canadian National
2011,5909014,Freight,Canadian Pacific,Canadian Pacific,Martinson,Unknown,Canadian National
2011,5905032,Freight,Grand Forks Railway,Pope & Talbot,,,
2011,5933070,Freight and Passenger,Canadian National,Canadian National,Wolfenden,Unknown,Canadian National
2011,5933897,Freight and Passenger,Canadian National,Canadian National,,,
2011,5921016,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5931006,Freight,Canadian National,Canadian National,Squamish South,Unknown,Canadian National
2011,5951017,Freight,Canadian National,Canadian National,Fort Fraser,Passenger Station,VIA Rail
2011,5915022,Freight and Passenger,Canadian National,Canadian National,Still Creek,Unknown,Canadian National
2011,5915004,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Fraser River Junction,Unknown,Canadian National
2011,5915034,Freight and Passenger,Canadian Pacific,Canadian Pacific,North Road,Freight,Canadian National
2011,5933042,Freight and Passenger,Canadian National,Canadian National,Mackenzie,Unknown,Canadian National
2011,5915022,Freight,Canadian Pacific,Canadian Pacific,Waterfront,Passenger Station,West Coast Express Ltd.
2011,5931034,Freight,Canadian National,Canadian National,Glen Fraser,Unknown,Canadian National
2011,5933070,Freight and Passenger,Canadian National,Canadian National,Blue River West,Unknown,Canadian National
2011,5951022,Freight and Passenger,Canadian National,Canadian National,Burns Lake,Mixed,Canadian National
2011,5933037,Freight and Passenger,Canadian National,Canadian National,McAbee,Freight,Canadian National
2011,5949805,Freight and Passenger,Canadian National,Canadian National,,,
2011,5955023,Freight,Canadian National,Canadian National,Wolverine,Unknown,Canadian National
2011,5909056,Freight,Canadian Pacific,Canadian Pacific,Mission,Passenger Station,VIA Rail
2011,5955040,Freight,Canadian National,Canadian National,Sikanni,Unknown,Canadian National
2011,5941021,Freight,Canadian National,Canadian National,Greening,Unknown,Canadian National
2011,5915004,Freight,Burlington Northern Santa Fe Railway,Burlington Northern and Santa Fe Railway Company,Fraser River Junction,Unknown,Canadian National
2011,5941809,Freight,Canadian National,Canadian National,,,
2011,5933037,Freight,Canadian National,Canadian National,Walhachin,Unknown,Canadian National
2011,5951028,Freight,Canadian National,Canadian National,Broman Lake,Unknown,Canadian National
2011,5931034,Freight and Tourist,Canadian National,Canadian National,Marne,Unknown,Canadian National
2011,5933070,Freight,Canadian National,Canadian National,Wabron,Unknown,Canadian National
2011,5915004,Freight and Passenger,Canadian National,Canadian National,Hampton,Unknown,Canadian National
2011,5951017,Freight and Passenger,Canadian National,Canadian National,Savory,Unknown,Canadian National
2011,5915029,Freight,Canadian Pacific,Canadian Pacific,New Westminster,Freight,Canadian National
2011,5933037,Freight and Tourist,Canadian Pacific,Canadian Pacific,Morris,Unknown,Canadian National
2011,5951019,Freight,Canadian National,Canadian National,McCall,Unknown,Canadian National
2011,5909014,Freight,Canadian Pacific,Canadian Pacific,North Bend,Mixed,Canadian Pacific
2011,5903004,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5941021,Freight and Tourist,Canadian National,Canadian National,Dunkley,Freight,Canadian National
2011,5915075,Freight,Canadian Pacific,Canadian Pacific,Maple Meadows,Passenger Station,West Coast Express Ltd.
2011,5933039,Freight and Tourist,Canadian Pacific,Canadian Pacific,Savona,Unknown,Canadian National
2011,5933044,Freight and Passenger,Canadian National,Canadian National,McLure,Unknown,Canadian National
2011,5933039,Freight and Tourist,Canadian Pacific,Canadian Pacific,Frederick,Unknown,Canadian National
2011,5909052,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Sumas Mtn,Unknown,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Canoe River,Unknown,Canadian National
2011,5915004,Freight,Canadian Pacific,Canadian Pacific,MacDonald,Freight,Canadian National
2011,5933039,Freight,Canadian National,Canadian National,Kissick,Unknown,Canadian National
2011,5933887,Freight and Passenger,Canadian National,Canadian National,Chinook Cove,Unknown,Canadian National
