census_year,geography_id,geography_name,projection_year,occupation_code,occupation_description,demand_outlook_value,supply_outlook_value
2011,59,British Columbia,2010,NOC001,Legislators and senior management,25660,26060
2011,59,British Columbia,2011,NOC001,Legislators and senior management,26040,26430
2011,59,British Columbia,2012,NOC001,Legislators and senior management,26490,26870
2011,59,British Columbia,2013,NOC001,Legislators and senior management,26930,27320
2011,59,British Columbia,2014,NOC001,Legislators and senior management,27510,27770
2011,59,British Columbia,2015,NOC001,Legislators and senior management,28060,28190
2011,59,British Columbia,2016,NOC001,Legislators and senior management,28630,28540
2011,59,British Columbia,2017,NOC001,Legislators and senior management,29050,28820
2011,59,British Columbia,2018,NOC001,Legislators and senior management,29290,29010
2011,59,British Columbia,2019,NOC001,Legislators and senior management,29430,29150
2011,59,British Columbia,2020,NOC001,Legislators and senior management,29590,29300
2011,59,British Columbia,2010,NOC011,Administrative services managers,19590,19890
2011,59,British Columbia,2011,NOC011,Administrative services managers,19850,20140
2011,59,British Columbia,2012,NOC011,Administrative services managers,20170,20460
2011,59,British Columbia,2013,NOC011,Administrative services managers,20490,20790
2011,59,British Columbia,2014,NOC011,Administrative services managers,20920,21110
2011,59,British Columbia,2015,NOC011,Administrative services managers,21310,21420
2011,59,British Columbia,2016,NOC011,Administrative services managers,21740,21670
2011,59,British Columbia,2017,NOC011,Administrative services managers,22060,21880
2011,59,British Columbia,2018,NOC011,Administrative services managers,22260,22050
2011,59,British Columbia,2019,NOC011,Administrative services managers,22400,22190
2011,59,British Columbia,2020,NOC011,Administrative services managers,22560,22350
2011,59,British Columbia,2010,NOC012,Managers in financial and business services,23980,24350
2011,59,British Columbia,2011,NOC012,Managers in financial and business services,24210,24590
2011,59,British Columbia,2012,NOC012,Managers in financial and business services,24570,24940
2011,59,British Columbia,2013,NOC012,Managers in financial and business services,24920,25290
2011,59,British Columbia,2014,NOC012,Managers in financial and business services,25360,25610
2011,59,British Columbia,2015,NOC012,Managers in financial and business services,25800,25940
2011,59,British Columbia,2016,NOC012,Managers in financial and business services,26240,26160
2011,59,British Columbia,2017,NOC012,Managers in financial and business services,26520,26310
2011,59,British Columbia,2018,NOC012,Managers in financial and business services,26620,26360
2011,59,British Columbia,2019,NOC012,Managers in financial and business services,26600,26370
2011,59,British Columbia,2020,NOC012,Managers in financial and business services,26590,26350
2011,59,British Columbia,2010,NOC013,Managers in communication (except broadcasting),1510,1540
2011,59,British Columbia,2011,NOC013,Managers in communication (except broadcasting),1540,1560
2011,59,British Columbia,2012,NOC013,Managers in communication (except broadcasting),1580,1600
2011,59,British Columbia,2013,NOC013,Managers in communication (except broadcasting),1610,1640
2011,59,British Columbia,2014,NOC013,Managers in communication (except broadcasting),1650,1670
2011,59,British Columbia,2015,NOC013,Managers in communication (except broadcasting),1680,1700
2011,59,British Columbia,2016,NOC013,Managers in communication (except broadcasting),1720,1720
2011,59,British Columbia,2017,NOC013,Managers in communication (except broadcasting),1750,1740
2011,59,British Columbia,2018,NOC013,Managers in communication (except broadcasting),1770,1750
2011,59,British Columbia,2019,NOC013,Managers in communication (except broadcasting),1780,1770
2011,59,British Columbia,2020,NOC013,Managers in communication (except broadcasting),1800,1780
2011,59,British Columbia,2010,NOC021,"Managers in engineering, architecture, science and information systems",7630,7740
2011,59,British Columbia,2011,NOC021,"Managers in engineering, architecture, science and information systems",7720,7840
2011,59,British Columbia,2012,NOC021,"Managers in engineering, architecture, science and information systems",7870,7990
2011,59,British Columbia,2013,NOC021,"Managers in engineering, architecture, science and information systems",8020,8150
2011,59,British Columbia,2014,NOC021,"Managers in engineering, architecture, science and information systems",8210,8300
2011,59,British Columbia,2015,NOC021,"Managers in engineering, architecture, science and information systems",8390,8440
2011,59,British Columbia,2016,NOC021,"Managers in engineering, architecture, science and information systems",8590,8560
2011,59,British Columbia,2017,NOC021,"Managers in engineering, architecture, science and information systems",8740,8670
2011,59,British Columbia,2018,NOC021,"Managers in engineering, architecture, science and information systems",8850,8750
2011,59,British Columbia,2019,NOC021,"Managers in engineering, architecture, science and information systems",8920,8830
2011,59,British Columbia,2020,NOC021,"Managers in engineering, architecture, science and information systems",9000,8900
2011,59,British Columbia,2010,NOC031,"Managers in health, education, social and community services",13270,13450
2011,59,British Columbia,2011,NOC031,"Managers in health, education, social and community services",13360,13550
2011,59,British Columbia,2012,NOC031,"Managers in health, education, social and community services",13490,13670
2011,59,British Columbia,2013,NOC031,"Managers in health, education, social and community services",13660,13820
2011,59,British Columbia,2014,NOC031,"Managers in health, education, social and community services",13850,13950
2011,59,British Columbia,2015,NOC031,"Managers in health, education, social and community services",14050,14100
2011,59,British Columbia,2016,NOC031,"Managers in health, education, social and community services",14310,14260
2011,59,British Columbia,2017,NOC031,"Managers in health, education, social and community services",14530,14440
2011,59,British Columbia,2018,NOC031,"Managers in health, education, social and community services",14750,14620
2011,59,British Columbia,2019,NOC031,"Managers in health, education, social and community services",14960,14830
2011,59,British Columbia,2020,NOC031,"Managers in health, education, social and community services",15200,15050
2011,59,British Columbia,2010,NOC041,Managers in public administration,1950,1970
2011,59,British Columbia,2011,NOC041,Managers in public administration,1960,1990
2011,59,British Columbia,2012,NOC041,Managers in public administration,1980,1990
2011,59,British Columbia,2013,NOC041,Managers in public administration,1990,2000
2011,59,British Columbia,2014,NOC041,Managers in public administration,2020,2020
2011,59,British Columbia,2015,NOC041,Managers in public administration,2040,2050
2011,59,British Columbia,2016,NOC041,Managers in public administration,2070,2070
2011,59,British Columbia,2017,NOC041,Managers in public administration,2100,2090
2011,59,British Columbia,2018,NOC041,Managers in public administration,2120,2110
2011,59,British Columbia,2019,NOC041,Managers in public administration,2130,2120
2011,59,British Columbia,2020,NOC041,Managers in public administration,2150,2130
2011,59,British Columbia,2010,NOC051,"Managers in art, culture, recreation and sport",3680,3740
2011,59,British Columbia,2011,NOC051,"Managers in art, culture, recreation and sport",3760,3810
2011,59,British Columbia,2012,NOC051,"Managers in art, culture, recreation and sport",3810,3860
2011,59,British Columbia,2013,NOC051,"Managers in art, culture, recreation and sport",3890,3930
2011,59,British Columbia,2014,NOC051,"Managers in art, culture, recreation and sport",3970,3990
2011,59,British Columbia,2015,NOC051,"Managers in art, culture, recreation and sport",4060,4060
2011,59,British Columbia,2016,NOC051,"Managers in art, culture, recreation and sport",4140,4120
2011,59,British Columbia,2017,NOC051,"Managers in art, culture, recreation and sport",4190,4170
2011,59,British Columbia,2018,NOC051,"Managers in art, culture, recreation and sport",4240,4200
2011,59,British Columbia,2019,NOC051,"Managers in art, culture, recreation and sport",4270,4230
2011,59,British Columbia,2020,NOC051,"Managers in art, culture, recreation and sport",4300,4260
2011,59,British Columbia,2010,NOC061,"Sales, marketing and advertising managers",23180,23550
2011,59,British Columbia,2011,NOC061,"Sales, marketing and advertising managers",23470,23840
2011,59,British Columbia,2012,NOC061,"Sales, marketing and advertising managers",23870,24250
2011,59,British Columbia,2013,NOC061,"Sales, marketing and advertising managers",24240,24650
2011,59,British Columbia,2014,NOC061,"Sales, marketing and advertising managers",24780,25060
2011,59,British Columbia,2015,NOC061,"Sales, marketing and advertising managers",25280,25440
2011,59,British Columbia,2016,NOC061,"Sales, marketing and advertising managers",25810,25740
2011,59,British Columbia,2017,NOC061,"Sales, marketing and advertising managers",26190,25960
2011,59,British Columbia,2018,NOC061,"Sales, marketing and advertising managers",26410,26130
2011,59,British Columbia,2019,NOC061,"Sales, marketing and advertising managers",26530,26260
2011,59,British Columbia,2020,NOC061,"Sales, marketing and advertising managers",26670,26400
2011,59,British Columbia,2010,NOC062,Managers in retail trade,56800,57640
2011,59,British Columbia,2011,NOC062,Managers in retail trade,57440,58280
2011,59,British Columbia,2012,NOC062,Managers in retail trade,58380,59060
2011,59,British Columbia,2013,NOC062,Managers in retail trade,59140,59770
2011,59,British Columbia,2014,NOC062,Managers in retail trade,60100,60430
2011,59,British Columbia,2015,NOC062,Managers in retail trade,60860,61020
2011,59,British Columbia,2016,NOC062,Managers in retail trade,61640,61470
2011,59,British Columbia,2017,NOC062,Managers in retail trade,62190,61830
2011,59,British Columbia,2018,NOC062,Managers in retail trade,62540,62090
2011,59,British Columbia,2019,NOC062,Managers in retail trade,62740,62290
2011,59,British Columbia,2020,NOC062,Managers in retail trade,62990,62490
2011,59,British Columbia,2010,NOC063,Managers in food service and accommodation,22040,22540
2011,59,British Columbia,2011,NOC063,Managers in food service and accommodation,22850,23150
2011,59,British Columbia,2012,NOC063,Managers in food service and accommodation,23240,23510
2011,59,British Columbia,2013,NOC063,Managers in food service and accommodation,23810,24040
2011,59,British Columbia,2014,NOC063,Managers in food service and accommodation,24280,24410
2011,59,British Columbia,2015,NOC063,Managers in food service and accommodation,24660,24720
2011,59,British Columbia,2016,NOC063,Managers in food service and accommodation,25020,24940
2011,59,British Columbia,2017,NOC063,Managers in food service and accommodation,25260,25110
2011,59,British Columbia,2018,NOC063,Managers in food service and accommodation,25410,25230
2011,59,British Columbia,2019,NOC063,Managers in food service and accommodation,25500,25320
2011,59,British Columbia,2020,NOC063,Managers in food service and accommodation,25630,25420
2011,59,British Columbia,2010,NOC064,Managers in protective services,2370,2400
2011,59,British Columbia,2011,NOC064,Managers in protective services,2370,2390
2011,59,British Columbia,2012,NOC064,Managers in protective services,2370,2380
2011,59,British Columbia,2013,NOC064,Managers in protective services,2390,2380
2011,59,British Columbia,2014,NOC064,Managers in protective services,2410,2390
2011,59,British Columbia,2015,NOC064,Managers in protective services,2440,2430
2011,59,British Columbia,2016,NOC064,Managers in protective services,2470,2460
2011,59,British Columbia,2017,NOC064,Managers in protective services,2490,2490
2011,59,British Columbia,2018,NOC064,Managers in protective services,2510,2510
2011,59,British Columbia,2019,NOC064,Managers in protective services,2520,2520
2011,59,British Columbia,2020,NOC064,Managers in protective services,2530,2520
2011,59,British Columbia,2010,NOC065,Managers in other services,6320,6430
2011,59,British Columbia,2011,NOC065,Managers in other services,6430,6530
2011,59,British Columbia,2012,NOC065,Managers in other services,6520,6610
2011,59,British Columbia,2013,NOC065,Managers in other services,6640,6730
2011,59,British Columbia,2014,NOC065,Managers in other services,6810,6860
2011,59,British Columbia,2015,NOC065,Managers in other services,6970,7000
2011,59,British Columbia,2016,NOC065,Managers in other services,7130,7110
2011,59,British Columbia,2017,NOC065,Managers in other services,7240,7180
2011,59,British Columbia,2018,NOC065,Managers in other services,7300,7230
2011,59,British Columbia,2019,NOC065,Managers in other services,7340,7280
2011,59,British Columbia,2020,NOC065,Managers in other services,7380,7310
2011,59,British Columbia,2010,NOC071,Managers in construction and transportation,22570,22990
2011,59,British Columbia,2011,NOC071,Managers in construction and transportation,22720,23080
2011,59,British Columbia,2012,NOC071,Managers in construction and transportation,23420,23720
2011,59,British Columbia,2013,NOC071,Managers in construction and transportation,23870,24160
2011,59,British Columbia,2014,NOC071,Managers in construction and transportation,24430,24600
2011,59,British Columbia,2015,NOC071,Managers in construction and transportation,24800,24900
2011,59,British Columbia,2016,NOC071,Managers in construction and transportation,25210,25140
2011,59,British Columbia,2017,NOC071,Managers in construction and transportation,25470,25290
2011,59,British Columbia,2018,NOC071,Managers in construction and transportation,25410,25200
2011,59,British Columbia,2019,NOC071,Managers in construction and transportation,25210,25020
2011,59,British Columbia,2020,NOC071,Managers in construction and transportation,25150,24950
2011,59,British Columbia,2010,NOC072,Facility operation and maintenance managers,6250,6350
2011,59,British Columbia,2011,NOC072,Facility operation and maintenance managers,6340,6430
2011,59,British Columbia,2012,NOC072,Facility operation and maintenance managers,6430,6520
2011,59,British Columbia,2013,NOC072,Facility operation and maintenance managers,6520,6610
2011,59,British Columbia,2014,NOC072,Facility operation and maintenance managers,6650,6700
2011,59,British Columbia,2015,NOC072,Facility operation and maintenance managers,6760,6790
2011,59,British Columbia,2016,NOC072,Facility operation and maintenance managers,6880,6860
2011,59,British Columbia,2017,NOC072,Facility operation and maintenance managers,6970,6920
2011,59,British Columbia,2018,NOC072,Facility operation and maintenance managers,7030,6970
2011,59,British Columbia,2019,NOC072,Facility operation and maintenance managers,7060,7000
2011,59,British Columbia,2020,NOC072,Facility operation and maintenance managers,7100,7040
2011,59,British Columbia,2010,NOC081,Managers in primary production (except agriculture),2190,2230
2011,59,British Columbia,2011,NOC081,Managers in primary production (except agriculture),2270,2290
2011,59,British Columbia,2012,NOC081,Managers in primary production (except agriculture),2340,2350
2011,59,British Columbia,2013,NOC081,Managers in primary production (except agriculture),2400,2400
2011,59,British Columbia,2014,NOC081,Managers in primary production (except agriculture),2450,2440
2011,59,British Columbia,2015,NOC081,Managers in primary production (except agriculture),2470,2470
2011,59,British Columbia,2016,NOC081,Managers in primary production (except agriculture),2480,2480
2011,59,British Columbia,2017,NOC081,Managers in primary production (except agriculture),2490,2500
2011,59,British Columbia,2018,NOC081,Managers in primary production (except agriculture),2500,2500
2011,59,British Columbia,2019,NOC081,Managers in primary production (except agriculture),2510,2510
2011,59,British Columbia,2020,NOC081,Managers in primary production (except agriculture),2530,2520
2011,59,British Columbia,2010,NOC091,Managers in manufacturing and utilities,10230,10400
2011,59,British Columbia,2011,NOC091,Managers in manufacturing and utilities,10150,10340
2011,59,British Columbia,2012,NOC091,Managers in manufacturing and utilities,10330,10480
2011,59,British Columbia,2013,NOC091,Managers in manufacturing and utilities,10490,10640
2011,59,British Columbia,2014,NOC091,Managers in manufacturing and utilities,10760,10850
2011,59,British Columbia,2015,NOC091,Managers in manufacturing and utilities,10980,11030
2011,59,British Columbia,2016,NOC091,Managers in manufacturing and utilities,11200,11170
2011,59,British Columbia,2017,NOC091,Managers in manufacturing and utilities,11340,11250
2011,59,British Columbia,2018,NOC091,Managers in manufacturing and utilities,11420,11310
2011,59,British Columbia,2019,NOC091,Managers in manufacturing and utilities,11470,11360
2011,59,British Columbia,2020,NOC091,Managers in manufacturing and utilities,11510,11410
2011,59,British Columbia,2010,NOC111,"Auditors, accountants and investment professionals",42830,43480
2011,59,British Columbia,2011,NOC111,"Auditors, accountants and investment professionals",43450,44110
2011,59,British Columbia,2012,NOC111,"Auditors, accountants and investment professionals",44230,44890
2011,59,British Columbia,2013,NOC111,"Auditors, accountants and investment professionals",44960,45650
